Page URL,Screenshot Filename,Timestamp (AEST)
https://www.9news.com.au/,__2025-04-18-01-35-AEST.png,2025-04-18 01:35:45
https://www.9news.com.au/new-south-wales,_new_south_wales_2025-04-18-01-35-AEST.png,2025-04-18 01:35:47
https://www.9news.com.au/national,_national_2025-04-18-01-35-AEST.png,2025-04-18 01:35:49
https://www.9news.com.au/queensland,_queensland_2025-04-18-01-35-AEST.png,2025-04-18 01:35:58
https://www.9news.com.au/victoria,_victoria_2025-04-18-01-35-AEST.png,2025-04-18 01:36:00
https://www.9news.com.au/south-australia,_south_australia_2025-04-18-01-35-AEST.png,2025-04-18 01:36:02
https://www.9news.com.au/western-australia,_western_australia_2025-04-18-01-36-AEST.png,2025-04-18 01:36:14
https://www.9news.com.au/australian-capital-territory,_australian_capital_territory_2025-04-18-01-36-AEST.png,2025-04-18 01:36:15
https://www.9news.com.au/tasmania,_tasmania_2025-04-18-01-36-AEST.png,2025-04-18 01:36:17
https://www.9news.com.au/northern-territory,_northern_territory_2025-04-18-01-36-AEST.png,2025-04-18 01:36:28
